CITY,COUNTRY,DATE,LATITUDE,LONGITUDE,MODEL,Monthly target,ORDERS,On time deliveries,PART,Production Cost,Production Type,QA pass rate,REVENUE,Repairs Processed,Shipping Cost,Shipping container utilization,Units produced,Warehouse Code,Warehouse Name,Warranties processed,Warranty claims,_BATCH_ID_,_BATCH_LAST_RUN_
Hualien,Taiwan,2024-07-07,24.0230999,121.617996,RDX-EU,719.0,719.0,0.9,Complete Bike,13523.0,Complete Bike,0.86,22289.0,16.0,236.09,0.87,846.0,DLS,Hualien Facility,15.0,16.0,1.0,2025-05-03 13:29:46
Kashi,China,2024-07-07,39.5429001,76.0199966,MTX-5000,666.0,606.0,0.9,Rotors,246.0,Component,0.9,515.15,12.0,229.4,0.93,822.0,PVP,Kashgar Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2024-07-07,17.4391003,101.722,MTX-2000,815.0,782.0,0.93,Front derailleur ,236.0,Component,0.9,524.21,32.0,250.05,0.86,896.0,ETL,Loei Warehouse,16.0,16.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-07-07,12.2275,109.192001,RDX-EU,411.0,382.0,0.91,Suspension,1426.0,Component,0.89,2293.38,42.0,141.77,0.89,508.0,JFU,Nha Trang Plant,13.0,14.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-07-07,24.4668999,122.977997,RDX-EU,711.0,668.0,0.91,Suspension,1659.0,Component,0.89,4010.04,52.0,215.72,0.85,773.0,WRV,Yonaguni Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2024-08-06,35.7647018,140.386002,RDX-EU,724.0,702.0,0.9,Shifter-L,170.0,Component,0.94,386.25,13.0,217.12,0.82,778.0,AZJ,Narita International Facility,12.0,13.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-08-06,12.2275,109.192001,RDX-EU,696.0,682.0,0.95,Pedals,314.0,Component,0.89,579.77,32.0,231.07,0.87,828.0,JFU,Nha Trang Plant,30.0,32.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-08-06,10.8188,106.652,RDX-EU,659.0,652.0,0.89,Suspension,1690.0,Component,0.96,3914.46,45.0,176.93,0.94,634.0,QGX,Tan Son Nhat International Facility,14.0,15.0,1.0,2025-05-03 13:29:46
Dalian,China,2024-08-06,38.9656982,121.539001,MTX-2000,644.0,567.0,0.97,Brake Lever,219.0,Component,0.82,368.37,10.0,179.72,0.95,644.0,BAQ,Zhoushuizi Warehouse,10.0,10.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2024-09-06,13.9125996,100.607002,RDX-USA,693.0,610.0,0.89,Complete Bike,9430.0,Complete Bike,0.9,22564.08,14.0,199.26,0.84,714.0,VYB,Don Mueang International Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2024-09-06,21.3945999,106.261002,MTX-2000,821.0,813.0,0.88,Tires,524.0,Component,0.89,975.35,13.0,233.86,0.94,838.0,WMZ,Kep Plant,12.0,13.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2024-09-06,17.4391003,101.722,RDX-USA,789.0,765.0,0.89,Brake Lever,283.0,Component,0.91,497.46,22.0,222.42,0.95,797.0,ETL,Loei Warehouse,11.0,11.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2024-09-06,36.1668015,137.923004,RDX-NZ,735.0,728.0,0.93,Tires,537.0,Component,0.9,873.18,48.0,246.98,0.95,885.0,KOB,Matsumoto Facility,22.0,24.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-09-06,12.2275,109.192001,RDX-EU,647.0,589.0,0.87,Brake Lever,154.0,Component,0.85,382.7,30.0,198.42,0.95,711.0,JFU,Nha Trang Plant,14.0,15.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-09-06,16.0704002,103.646004,MTX-2000,891.0,820.0,0.96,Steering,126.0,Component,0.95,221.24,26.0,236.93,0.88,849.0,JRR,Rob Muang Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-09-06,10.8188,106.652,MTX-5000,414.0,393.0,0.88,Tires,234.0,Component,0.93,471.96,10.0,148.19,0.94,531.0,QGX,Tan Son Nhat International Facility,9.0,10.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-09-06,24.4668999,122.977997,RDX-EU,589.0,548.0,0.98,Seat,443.0,Component,0.84,684.71,8.0,210.7,0.95,755.0,WRV,Yonaguni Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Dalian,China,2024-09-06,38.9656982,121.539001,MTX-5000,554.0,510.0,0.97,Rear Cassette,329.0,Component,0.88,662.58,6.0,159.35,0.83,571.0,BAQ,Zhoushuizi Warehouse,5.0,6.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2024-10-07,24.0230999,121.617996,RDX-USA,728.0,684.0,0.89,Complete Bike,14696.0,Complete Bike,0.9,25319.84,46.0,239.16,0.96,857.0,DLS,Hualien Facility,22.0,23.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2024-10-07,21.3945999,106.261002,MTX-5000,423.0,389.0,0.88,Brake Lever,136.0,Component,0.82,252.95,16.0,149.58,0.9,536.0,WMZ,Kep Plant,7.0,8.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2024-10-07,35.7647018,140.386002,RDX-USA,642.0,584.0,0.87,Pedals,301.0,Component,0.89,496.59,88.0,221.3,0.94,793.0,AZJ,Narita International Facility,42.0,44.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-11-06,26.2742996,127.755997,MTX-3500,671.0,604.0,0.87,Complete Bike,7911.0,Complete Bike,0.84,17513.1,16.0,212.93,0.93,763.0,IBV,Futenma Plant,7.0,8.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-11-06,14.9344997,102.079002,RDX-USA,622.0,566.0,0.93,Pedals,292.0,Component,0.85,481.12,39.0,186.7,0.83,669.0,YHK,Khorat Warehouse,35.0,39.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2024-11-06,17.4391003,101.722,MTX-3500,551.0,501.0,0.87,Wheels,440.0,Component,0.89,701.97,26.0,163.53,0.84,586.0,ETL,Loei Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2024-11-06,36.1668015,137.923004,RDX-NZ,579.0,567.0,0.87,Brake Lever,162.0,Component,0.94,368.82,16.0,181.67,0.93,651.0,KOB,Matsumoto Facility,15.0,16.0,1.0,2025-05-03 13:29:46
Shanghai,China,2024-11-06,31.1434002,121.805,MTX-3500,457.0,434.0,0.89,Suspension,1440.0,Component,0.95,2604.9,24.0,148.19,0.85,531.0,JCE,Shanghai Pudong International Warehouse,6.0,6.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2024-12-07,13.9125996,100.607002,MTX-5000,682.0,668.0,0.87,Complete Bike,17684.0,Complete Bike,0.83,30744.56,28.0,213.77,0.84,766.0,VYB,Don Mueang International Warehouse,14.0,14.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-12-07,21.2212009,105.806999,RDX-USA,693.0,686.0,0.98,Tires,530.0,Component,0.94,823.28,10.0,224.93,0.92,806.0,WUM,Noi Bai International Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2024-12-07,37.2930984,136.962006,RDX-EU,672.0,665.0,0.94,Shifter-L,151.0,Component,0.85,365.9,20.0,237.49,0.84,851.0,DFQ,Noto Warehouse,18.0,20.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-12-07,23.3673725,119.502777,MTX-3500,584.0,572.0,0.9,Front derailleur ,226.0,Component,0.9,383.45,22.0,166.33,0.88,596.0,ZWY,Wang-an Facility,10.0,11.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-01-06,16.0438995,108.198997,MTX-3500,323.0,304.0,0.91,Complete Bike,3425.0,Complete Bike,0.88,7590.5,10.0,87.57,0.94,314.0,DNG,Da Nang International Warehouse,5.0,5.0,1.0,2025-05-03 13:29:46
Futema,Japan,2025-01-06,26.2742996,127.755997,MTX-3500,793.0,714.0,0.92,Complete Bike,9409.0,Complete Bike,0.9,20697.3,32.0,216.84,0.94,777.0,IBV,Futenma Plant,15.0,16.0,1.0,2025-05-03 13:29:46
Hotan,China,2025-01-06,37.0385017,79.8648987,MTX-5000,740.0,718.0,0.88,Complete Bike,15958.0,Complete Bike,0.89,33018.8,8.0,202.33,0.96,725.0,OOQ,Hotan Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2025-01-06,14.9344997,102.079002,RDX-EU,677.0,630.0,0.98,Tires,426.0,Component,0.87,755.53,30.0,186.98,0.84,670.0,YHK,Khorat Warehouse,14.0,15.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2025-01-06,24.4668999,122.977997,RDX-USA,456.0,433.0,0.96,Suspension,1428.0,Component,0.84,2599.2,48.0,144.56,0.91,518.0,WRV,Yonaguni Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2025-02-06,13.9125996,100.607002,RDX-USA,743.0,654.0,0.87,Complete Bike,14393.0,Complete Bike,0.88,24192.08,11.0,199.26,0.95,714.0,VYB,Don Mueang International Warehouse,11.0,11.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2025-02-06,24.0230999,121.617996,RDX-NZ,819.0,770.0,0.91,Complete Bike,13738.0,Complete Bike,0.82,29254.68,26.0,245.86,0.9,881.0,DLS,Hualien Facility,12.0,13.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2025-02-06,12.2275,109.192001,MTX-5000,671.0,597.0,0.96,Brake Lever,205.0,Component,0.93,388.17,26.0,207.91,0.91,745.0,JFU,Nha Trang Plant,13.0,13.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2025-02-06,10.1698,103.9931,RDX-EU,660.0,660.0,0.93,Shifter-L,190.0,Component,0.95,363.0,26.0,191.72,0.95,687.0,UAZ,Phu Quoc International Facility,13.0,13.0,1.0,2025-05-03 13:29:46
Dalian,China,2025-02-06,38.9656982,121.539001,MTX-5000,731.0,673.0,0.95,Wheel hubs,459.0,Component,0.95,968.43,9.0,212.37,0.92,761.0,BAQ,Zhoushuizi Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Urumqi,China,2025-02-06,43.9071007,87.4741974,RDX-USA,710.0,696.0,0.87,Steering,95.0,Component,0.9,187.8,19.0,247.53,0.84,887.0,ZBN,Ürümqi Diwopu International Warehouse,18.0,19.0,1.0,2025-05-03 13:29:46
Dalian,China,2025-03-09,38.9656982,121.539001,MTX-5000,731.0,643.0,0.93,Brake Lever,264.0,Component,0.96,418.13,40.0,229.12,0.86,821.0,BAQ,Zhoushuizi Warehouse,19.0,20.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2025-04-06,24.0230999,121.617996,RDX-NZ,757.0,757.0,0.95,Complete Bike,13266.0,Complete Bike,0.87,28766.0,40.0,242.79,0.93,870.0,DLS,Hualien Facility,19.0,20.0,1.0,2025-05-03 13:29:46
Kashi,China,2025-04-06,39.5429001,76.0199966,MTX-2000,748.0,658.0,0.91,Pedals,224.0,Component,0.88,559.5,45.0,210.98,0.83,756.0,PVP,Kashgar Warehouse,41.0,45.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2025-04-06,37.2930984,136.962006,RDX-USA,651.0,638.0,0.87,Brake Lever,254.0,Component,0.94,414.69,9.0,189.21,0.91,678.0,DFQ,Noto Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2025-04-06,16.0704002,103.646004,MTX-3500,769.0,692.0,0.89,Rear derailleur,416.0,Component,0.83,650.57,12.0,246.7,0.95,884.0,JRR,Rob Muang Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-07-07,16.0438995,108.198997,MTX-3500,311.0,280.0,0.91,Complete Bike,3902.0,Complete Bike,0.96,6997.5,8.0,95.5,0.84,342.0,DNG,Da Nang International Warehouse,4.0,4.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2024-07-07,13.9125996,100.607002,MTX-5000,816.0,726.0,0.89,Complete Bike,21705.0,Complete Bike,0.82,33407.04,21.0,221.02,0.96,792.0,VYB,Don Mueang International Warehouse,19.0,21.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-07-07,21.2212009,105.806999,MTX-5000,816.0,726.0,0.96,Brake Lever,252.0,Component,0.95,472.06,18.0,237.21,0.83,850.0,WUM,Noi Bai International Warehouse,17.0,18.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-07-07,16.0704002,103.646004,RDX-NZ,906.0,815.0,0.87,Brake Lever,228.0,Component,0.82,530.01,28.0,236.37,0.9,847.0,JRR,Rob Muang Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Shanghai,China,2024-07-07,31.1434002,121.805,MTX-3500,641.0,564.0,0.91,Seat,381.0,Component,0.92,705.1,24.0,180.56,0.96,647.0,JCE,Shanghai Pudong International Warehouse,12.0,12.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-08-06,16.0438995,108.198997,MTX-5000,285.0,265.0,0.94,Complete Bike,6170.0,Complete Bike,0.95,12192.3,4.0,97.12,0.82,348.0,DNG,Da Nang International Warehouse,4.0,4.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2024-08-06,24.0230999,121.617996,RDX-USA,622.0,603.0,0.98,Complete Bike,13130.0,Complete Bike,0.93,22323.58,20.0,217.12,0.85,778.0,DLS,Hualien Facility,10.0,10.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2024-08-06,17.4391003,101.722,RDX-EU,756.0,703.0,0.95,Suspension,2268.0,Component,0.9,4218.48,64.0,231.91,0.96,831.0,ETL,Loei Warehouse,15.0,16.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2024-08-06,36.1668015,137.923004,RDX-EU,880.0,783.0,0.92,Brake Lever,316.0,Component,0.89,509.08,36.0,233.86,0.96,838.0,KOB,Matsumoto Facility,17.0,18.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-08-06,16.4015007,107.703003,MTX-3500,669.0,642.0,0.87,Shifter-L,220.0,Component,0.85,353.23,26.0,176.09,0.96,631.0,CXO,Phu Bai Facility,12.0,13.0,1.0,2025-05-03 13:29:46
Shanghai,China,2024-08-06,31.1434002,121.805,RDX-EU,914.0,896.0,0.87,Pedals,431.0,Component,0.93,761.36,132.0,240.56,0.96,862.0,JCE,Shanghai Pudong International Warehouse,63.0,66.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-08-06,24.4668999,122.977997,MTX-2000,410.0,398.0,0.88,Suspension,1416.0,Component,0.84,2386.2,36.0,146.79,0.92,526.0,WRV,Yonaguni Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Hotan,China,2024-09-06,37.0385017,79.8648987,MTX-5000,625.0,575.0,0.95,Complete Bike,10811.0,Complete Bike,0.87,26450.0,26.0,207.63,0.84,744.0,OOQ,Hotan Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-09-06,16.4015007,107.703003,RDX-EU,522.0,475.0,0.96,Suspension,1848.0,Component,0.91,2850.12,45.0,161.86,0.92,580.0,CXO,Phu Bai Facility,14.0,15.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2024-09-06,10.1698,103.9931,MTX-3500,737.0,671.0,0.92,Tires,420.0,Component,0.91,804.8,22.0,212.09,0.85,760.0,UAZ,Phu Quoc International Facility,10.0,11.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-10-07,16.0438995,108.198997,RDX-USA,281.0,253.0,0.88,Complete Bike,6508.0,Complete Bike,0.82,11633.4,7.0,89.18,0.9,320.0,DNG,Da Nang International Warehouse,7.0,7.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-10-07,21.0405006,105.886002,RDX-EU,626.0,551.0,0.91,Complete Bike,9357.0,Complete Bike,0.94,17077.28,12.0,215.72,0.92,773.0,AKR,Gia Lam Plant,11.0,12.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-10-07,14.9344997,102.079002,MTX-5000,632.0,619.0,0.9,Pedals,229.0,Component,0.91,526.46,90.0,185.58,0.85,665.0,YHK,Khorat Warehouse,43.0,45.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2024-10-07,36.1668015,137.923004,RDX-USA,442.0,420.0,0.92,Frame,4393.0,Component,0.83,8399.05,10.0,140.09,0.93,502.0,KOB,Matsumoto Facility,10.0,10.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2024-10-07,37.2930984,136.962006,MTX-2000,615.0,566.0,0.97,Brake Lines,46.0,Component,0.9,84.87,9.0,161.86,0.82,580.0,DFQ,Noto Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2024-11-06,21.3945999,106.261002,MTX-5000,593.0,575.0,0.96,Suspension,1985.0,Component,0.94,3451.26,36.0,165.49,0.9,593.0,WMZ,Kep Plant,8.0,9.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2024-11-06,44.5241013,129.569,RDX-USA,753.0,715.0,0.94,Rear derailleur,293.0,Component,0.82,672.43,10.0,218.79,0.92,784.0,QAO,Mudanjiang Hailang International Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2024-11-06,37.2930984,136.962006,MTX-5000,913.0,813.0,0.91,Seat,580.0,Component,0.85,1015.71,18.0,245.02,0.95,878.0,DFQ,Noto Warehouse,9.0,9.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-12-07,16.0438995,108.198997,MTX-5000,314.0,311.0,0.93,Complete Bike,6098.0,Complete Bike,0.89,14299.56,8.0,105.55,0.93,378.0,DNG,Da Nang International Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Kashi,China,2024-12-07,39.5429001,76.0199966,RDX-EU,661.0,582.0,0.93,Suspension,1749.0,Component,0.88,3490.08,36.0,219.63,0.82,787.0,PVP,Kashgar Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2024-12-07,17.4391003,101.722,RDX-USA,798.0,782.0,0.96,Suspension,2276.0,Component,0.83,4692.24,52.0,220.47,0.82,790.0,ETL,Loei Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-12-07,16.4015007,107.703003,MTX-3500,497.0,477.0,0.91,Front derailleur ,168.0,Component,0.83,319.67,14.0,165.21,0.83,592.0,CXO,Phu Bai Facility,14.0,14.0,1.0,2025-05-03 13:29:46
Harbin,China,2024-12-07,45.6234016,126.25,MTX-5000,534.0,513.0,0.98,Rear Cassette,344.0,Component,0.88,666.43,11.0,155.16,0.93,556.0,AIM,Taiping Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2025-01-06,21.3945999,106.261002,MTX-3500,486.0,437.0,0.98,Suspension,1461.0,Component,0.85,2624.4,39.0,154.05,0.93,552.0,WMZ,Kep Plant,12.0,13.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2025-01-06,17.4391003,101.722,MTX-5000,692.0,657.0,0.94,Frame,6208.0,Component,0.96,13149.64,28.0,227.16,0.87,814.0,ETL,Loei Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2025-01-06,10.1698,103.9931,MTX-3500,671.0,658.0,0.93,Rear Cassette,402.0,Component,0.95,854.85,12.0,222.98,0.84,799.0,UAZ,Phu Quoc International Facility,11.0,12.0,1.0,2025-05-03 13:29:46
Kashi,China,2025-02-06,39.5429001,76.0199966,MTX-2000,681.0,681.0,0.92,Suspension,1956.0,Component,0.86,4086.0,27.0,231.91,0.84,831.0,PVP,Kashgar Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2025-02-06,17.4391003,101.722,RDX-USA,722.0,643.0,0.91,Tires,448.0,Component,0.91,771.1,8.0,190.05,0.84,681.0,ETL,Loei Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Shanghai,China,2025-02-06,31.1434002,121.805,RDX-NZ,536.0,525.0,0.93,Tires,372.0,Component,0.86,630.34,9.0,146.51,0.83,525.0,JCE,Shanghai Pudong International Warehouse,9.0,9.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2025-02-06,23.3673725,119.502777,MTX-3500,470.0,414.0,0.96,Steering,49.0,Component,0.88,111.63,16.0,154.33,0.87,553.0,ZWY,Wang-an Facility,7.0,8.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-03-09,16.0438995,108.198997,MTX-5000,360.0,335.0,0.97,Complete Bike,5620.0,Complete Bike,0.88,10378.8,20.0,104.56,0.84,375.0,DNG,Da Nang International Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2025-03-09,17.4391003,101.722,MTX-2000,713.0,627.0,0.9,Pedals,227.0,Component,0.84,533.32,132.0,242.51,0.87,869.0,ETL,Loei Warehouse,64.0,66.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2025-03-09,37.2930984,136.962006,MTX-2000,696.0,633.0,0.9,Seat,417.0,Component,0.96,791.7,10.0,242.79,0.92,870.0,DFQ,Noto Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Shanghai,China,2025-03-09,31.1434002,121.805,MTX-5000,566.0,526.0,0.98,Pedals,211.0,Component,0.82,447.42,21.0,161.3,0.82,578.0,JCE,Shanghai Pudong International Warehouse,20.0,21.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2025-03-09,23.3673725,119.502777,MTX-3500,395.0,367.0,0.91,Rotors,160.0,Component,0.88,312.25,22.0,139.53,0.89,500.0,ZWY,Wang-an Facility,10.0,11.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-04-06,16.0438995,108.198997,MTX-5000,308.0,302.0,0.97,Complete Bike,4219.0,Complete Bike,0.83,7546.0,8.0,102.33,0.89,367.0,DNG,Da Nang International Warehouse,4.0,4.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2025-04-06,17.4391003,101.722,RDX-NZ,547.0,542.0,0.9,Suspension,1946.0,Component,0.93,3249.18,39.0,183.91,0.87,659.0,ETL,Loei Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2025-04-06,36.1668015,137.923004,RDX-EU,698.0,691.0,0.97,Brake Lines,57.0,Component,0.82,103.65,23.0,243.35,0.93,872.0,KOB,Matsumoto Facility,22.0,23.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2025-04-06,44.5241013,129.569,RDX-USA,487.0,463.0,0.98,Tires,339.0,Component,0.89,555.18,26.0,169.95,0.82,609.0,QAO,Mudanjiang Hailang International Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
