CITY,COUNTRY,DATE,LATITUDE,LONGITUDE,MODEL,Monthly target,ORDERS,On time deliveries,PART,Production Cost,Production Type,QA pass rate,REVENUE,Repairs Processed,Shipping Cost,Shipping container utilization,Units produced,Warehouse Code,Warehouse Name,Warranties processed,Warranty claims,_BATCH_ID_,_BATCH_LAST_RUN_
Shanghai,China,2025-04-06,31.1434002,121.805,RDX-EU,604.0,556.0,0.87,Brake Lever,231.0,Component,0.95,361.19,34.0,195.91,0.93,702.0,JCE,Shanghai Pudong International Warehouse,15.0,17.0,1.0,2025-05-03 13:29:46
Harbin,China,2025-04-06,45.6234016,126.25,RDX-USA,558.0,525.0,0.89,Seat,388.0,Component,0.94,655.65,14.0,183.07,0.87,656.0,AIM,Taiping Warehouse,6.0,7.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2025-04-06,24.4668999,122.977997,RDX-EU,615.0,560.0,0.87,Suspension,1954.0,Component,0.88,3357.9,60.0,202.05,0.84,724.0,WRV,Yonaguni Warehouse,14.0,15.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-07-07,26.2742996,127.755997,MTX-2000,724.0,659.0,0.95,Complete Bike,9325.0,Complete Bike,0.82,16471.0,28.0,240.56,0.85,862.0,IBV,Futenma Plant,13.0,14.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-07-07,21.0405006,105.886002,MTX-2000,874.0,830.0,0.87,Complete Bike,12331.0,Complete Bike,0.95,20757.5,32.0,243.91,0.87,874.0,AKR,Gia Lam Plant,14.0,16.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2024-07-07,21.3945999,106.261002,MTX-2000,645.0,574.0,0.98,Steering,85.0,Component,0.88,154.94,11.0,183.63,0.91,658.0,WMZ,Kep Plant,10.0,11.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2024-07-07,37.2930984,136.962006,MTX-5000,807.0,767.0,0.94,Tires,581.0,Component,0.92,919.98,34.0,244.74,0.95,877.0,DFQ,Noto Warehouse,16.0,17.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-07-07,10.8188,106.652,MTX-2000,740.0,710.0,0.96,Rear derailleur,354.0,Component,0.88,667.78,36.0,194.79,0.9,698.0,QGX,Tan Son Nhat International Facility,17.0,18.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-07-07,43.9071007,87.4741974,RDX-EU,689.0,682.0,0.89,Tires,481.0,Component,0.94,818.53,16.0,218.51,0.9,783.0,ZBN,Ürümqi Diwopu International Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-08-06,14.9344997,102.079002,MTX-2000,549.0,544.0,0.96,Seat,340.0,Component,0.85,679.39,16.0,143.16,0.88,513.0,YHK,Khorat Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-08-06,16.0704002,103.646004,MTX-3500,754.0,754.0,0.93,Rotors,313.0,Component,0.85,640.9,14.0,216.84,0.91,777.0,JRR,Rob Muang Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Harbin,China,2024-08-06,45.6234016,126.25,MTX-2000,476.0,443.0,0.93,Rear derailleur,168.0,Component,0.96,416.12,12.0,162.14,0.93,581.0,AIM,Taiping Warehouse,12.0,12.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-08-06,23.3673725,119.502777,MTX-3500,655.0,648.0,0.98,Shifter-R,165.0,Component,0.96,356.65,32.0,203.16,0.82,728.0,ZWY,Wang-an Facility,14.0,16.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-09-06,16.0438995,108.198997,MTX-5000,362.0,340.0,0.96,Complete Bike,5993.0,Complete Bike,0.91,12930.64,18.0,101.95,0.83,365.0,DNG,Da Nang International Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-09-06,14.9344997,102.079002,RDX-EU,736.0,662.0,0.96,Brake Lever,192.0,Component,0.88,430.56,11.0,247.53,0.91,887.0,YHK,Khorat Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-09-06,43.9071007,87.4741974,RDX-NZ,644.0,580.0,0.97,Pedals,214.0,Component,0.82,492.66,62.0,172.74,0.94,619.0,ZBN,Ürümqi Diwopu International Warehouse,30.0,31.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-10-07,16.0438995,108.198997,RDX-USA,288.0,268.0,0.96,Complete Bike,5165.0,Complete Bike,0.92,9910.08,12.0,97.98,0.95,351.0,DNG,Da Nang International Warehouse,6.0,6.0,1.0,2025-05-03 13:29:46
Kashi,China,2024-10-07,39.5429001,76.0199966,RDX-EU,764.0,703.0,0.9,Pedals,249.0,Component,0.83,597.45,80.0,219.91,0.96,788.0,PVP,Kashgar Warehouse,39.0,40.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-10-07,16.4015007,107.703003,MTX-3500,583.0,513.0,0.97,Brake Lines,44.0,Component,0.87,76.96,36.0,189.21,0.85,678.0,CXO,Phu Bai Facility,17.0,18.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2024-10-07,10.1698,103.9931,RDX-EU,573.0,533.0,0.96,Wheels,305.0,Component,0.87,746.05,6.0,153.77,0.92,551.0,UAZ,Phu Quoc International Facility,6.0,6.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-10-07,16.0704002,103.646004,RDX-EU,766.0,766.0,0.96,Seat,622.0,Component,0.96,957.5,19.0,213.77,0.84,766.0,JRR,Rob Muang Warehouse,18.0,19.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-10-07,10.8188,106.652,MTX-5000,490.0,451.0,0.87,Shifter-R,143.0,Component,0.87,247.94,14.0,140.93,0.89,505.0,QGX,Tan Son Nhat International Facility,6.0,7.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-11-06,16.0438995,108.198997,MTX-2000,372.0,331.0,0.87,Complete Bike,5453.0,Complete Bike,0.94,12581.04,8.0,111.5,0.87,400.0,DNG,Da Nang International Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2024-11-06,24.0230999,121.617996,MTX-5000,669.0,649.0,0.98,Complete Bike,18955.0,Complete Bike,0.96,29850.78,18.0,219.63,0.84,787.0,DLS,Hualien Facility,16.0,18.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-11-06,16.4015007,107.703003,MTX-2000,510.0,500.0,0.88,Front derailleur ,139.0,Component,0.87,334.87,11.0,171.35,0.87,614.0,CXO,Phu Bai Facility,11.0,11.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-11-06,23.3673725,119.502777,RDX-NZ,603.0,549.0,0.97,Tires,316.0,Component,0.85,658.48,18.0,177.21,0.94,635.0,ZWY,Wang-an Facility,8.0,9.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-12-07,26.2742996,127.755997,RDX-NZ,705.0,677.0,0.92,Complete Bike,13446.0,Complete Bike,0.86,25718.4,36.0,245.86,0.95,881.0,IBV,Futenma Plant,17.0,18.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2024-12-07,21.3945999,106.261002,MTX-3500,413.0,392.0,0.97,Shifter-L,120.0,Component,0.9,215.79,22.0,145.95,0.84,523.0,WMZ,Kep Plant,11.0,11.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2024-12-07,36.1668015,137.923004,MTX-2000,725.0,703.0,0.95,Brake Lever,219.0,Component,0.85,457.11,30.0,206.51,0.95,740.0,KOB,Matsumoto Facility,14.0,15.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-12-07,16.0704002,103.646004,RDX-USA,566.0,509.0,0.94,Brake Lever,155.0,Component,0.82,331.11,24.0,147.63,0.86,529.0,JRR,Rob Muang Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Shanghai,China,2024-12-07,31.1434002,121.805,RDX-USA,906.0,879.0,0.96,Wheel hubs,559.0,Component,0.87,1265.5,40.0,247.81,0.89,888.0,JCE,Shanghai Pudong International Warehouse,18.0,20.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-12-07,10.8188,106.652,RDX-EU,724.0,644.0,0.98,Steering,105.0,Component,0.87,173.91,22.0,246.42,0.86,883.0,QGX,Tan Son Nhat International Facility,20.0,22.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-12-07,24.4668999,122.977997,MTX-5000,743.0,669.0,0.95,Seat,341.0,Component,0.95,835.88,10.0,241.12,0.9,864.0,WRV,Yonaguni Warehouse,10.0,10.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2025-01-06,36.1668015,137.923004,RDX-EU,736.0,699.0,0.9,Brake Lever,211.0,Component,0.92,454.48,34.0,209.58,0.96,751.0,KOB,Matsumoto Facility,16.0,17.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2025-01-06,44.5241013,129.569,RDX-NZ,583.0,577.0,0.88,Suspension,1390.0,Component,0.96,3463.02,32.0,178.88,0.92,641.0,QAO,Mudanjiang Hailang International Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Harbin,China,2025-01-06,45.6234016,126.25,RDX-EU,882.0,829.0,0.9,Brake Lines,70.0,Component,0.92,124.36,34.0,232.19,0.96,832.0,AIM,Taiping Warehouse,15.0,17.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2025-01-06,10.8188,106.652,MTX-2000,556.0,500.0,0.96,Steering,61.0,Component,0.9,135.06,24.0,184.74,0.82,662.0,QGX,Tan Son Nhat International Facility,11.0,12.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2025-01-06,23.3673725,119.502777,RDX-EU,814.0,749.0,0.9,Tires,377.0,Component,0.84,898.66,32.0,218.51,0.92,783.0,ZWY,Wang-an Facility,15.0,16.0,1.0,2025-05-03 13:29:46
Dalian,China,2025-01-06,38.9656982,121.539001,MTX-2000,489.0,455.0,0.97,Tires,295.0,Component,0.83,545.72,28.0,160.47,0.95,575.0,BAQ,Zhoushuizi Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2025-02-06,35.7647018,140.386002,MTX-2000,626.0,582.0,0.92,Wheels,379.0,Component,0.91,815.05,24.0,215.72,0.91,773.0,AZJ,Narita International Facility,11.0,12.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2025-02-06,21.2212009,105.806999,MTX-3500,788.0,733.0,0.96,Pedals,301.0,Component,0.93,622.91,52.0,209.3,0.95,750.0,WUM,Noi Bai International Warehouse,25.0,26.0,1.0,2025-05-03 13:29:46
Harbin,China,2025-02-06,45.6234016,126.25,RDX-NZ,572.0,572.0,0.92,Wheel hubs,516.0,Component,0.96,823.68,10.0,204.56,0.91,733.0,AIM,Taiping Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2025-02-06,10.8188,106.652,RDX-NZ,710.0,703.0,0.98,Brake Lever,246.0,Component,0.95,456.89,28.0,230.23,0.91,825.0,QGX,Tan Son Nhat International Facility,13.0,14.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-03-09,16.0438995,108.198997,RDX-USA,269.0,256.0,0.88,Complete Bike,4025.0,Complete Bike,0.88,7410.95,18.0,93.77,0.83,336.0,DNG,Da Nang International Warehouse,9.0,9.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2025-03-09,21.3945999,106.261002,MTX-3500,554.0,526.0,0.97,Front derailleur ,180.0,Component,0.95,352.62,7.0,148.74,0.95,533.0,WMZ,Kep Plant,7.0,7.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2025-03-09,36.1668015,137.923004,RDX-EU,530.0,493.0,0.95,Pedals,253.0,Component,0.96,418.97,82.0,178.05,0.87,638.0,KOB,Matsumoto Facility,39.0,41.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2025-03-09,44.5241013,129.569,RDX-EU,664.0,598.0,0.94,Wheels,468.0,Component,0.83,836.64,40.0,217.95,0.88,781.0,QAO,Mudanjiang Hailang International Warehouse,19.0,20.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2025-03-09,16.0704002,103.646004,RDX-NZ,467.0,425.0,0.93,Tires,206.0,Component,0.87,509.96,16.0,140.09,0.9,502.0,JRR,Rob Muang Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Harbin,China,2025-03-09,45.6234016,126.25,MTX-2000,653.0,620.0,0.91,Pedals,239.0,Component,0.88,527.3,33.0,207.07,0.95,742.0,AIM,Taiping Warehouse,31.0,33.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2025-03-09,10.8188,106.652,MTX-2000,858.0,832.0,0.89,Rotors,380.0,Component,0.86,707.42,11.0,244.19,0.88,875.0,QGX,Tan Son Nhat International Facility,10.0,11.0,1.0,2025-05-03 13:29:46
Hotan,China,2025-04-06,37.0385017,79.8648987,RDX-NZ,797.0,733.0,0.93,Complete Bike,12943.0,Complete Bike,0.96,27863.12,22.0,231.63,0.9,830.0,OOQ,Hotan Warehouse,20.0,22.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2025-04-06,21.3945999,106.261002,RDX-NZ,587.0,534.0,0.95,Pedals,228.0,Component,0.95,454.04,78.0,176.09,0.93,631.0,WMZ,Kep Plant,36.0,39.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2025-04-06,14.9344997,102.079002,RDX-USA,691.0,677.0,0.92,Shifter-L,156.0,Component,0.85,372.45,20.0,211.81,0.94,759.0,YHK,Khorat Warehouse,19.0,20.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2024-07-07,36.1668015,137.923004,MTX-2000,668.0,655.0,0.95,Pedals,259.0,Component,0.83,556.44,38.0,216.84,0.89,777.0,KOB,Matsumoto Facility,36.0,38.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2024-07-07,35.7647018,140.386002,RDX-NZ,553.0,525.0,0.96,Suspension,1387.0,Component,0.85,3152.1,33.0,171.35,0.82,614.0,AZJ,Narita International Facility,10.0,11.0,1.0,2025-05-03 13:29:46
Harbin,China,2024-07-07,45.6234016,126.25,RDX-EU,497.0,477.0,0.95,Seat,251.0,Component,0.89,596.4,6.0,149.02,0.83,534.0,AIM,Taiping Warehouse,6.0,6.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-08-06,26.2742996,127.755997,MTX-2000,858.0,824.0,0.91,Complete Bike,8572.0,Complete Bike,0.94,20592.0,11.0,225.77,0.83,809.0,IBV,Futenma Plant,11.0,11.0,1.0,2025-05-03 13:29:46
Kashi,China,2024-09-06,39.5429001,76.0199966,RDX-NZ,792.0,752.0,0.95,Pedals,350.0,Component,0.91,639.54,62.0,240.28,0.83,861.0,PVP,Kashgar Warehouse,30.0,31.0,1.0,2025-05-03 13:29:46
Shanghai,China,2024-09-06,31.1434002,121.805,RDX-EU,500.0,490.0,0.92,Rear Cassette,374.0,Component,0.84,637.0,28.0,143.72,0.84,515.0,JCE,Shanghai Pudong International Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Harbin,China,2024-09-06,45.6234016,126.25,MTX-2000,551.0,534.0,0.97,Suspension,2016.0,Component,0.87,3206.82,44.0,165.21,0.95,592.0,AIM,Taiping Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-09-06,23.3673725,119.502777,RDX-EU,474.0,474.0,0.94,Wheels,379.0,Component,0.82,663.6,6.0,155.72,0.87,558.0,ZWY,Wang-an Facility,6.0,6.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-10-07,16.0438995,108.198997,MTX-5000,292.0,286.0,0.92,Complete Bike,6642.0,Complete Bike,0.95,10587.92,5.0,92.65,0.94,332.0,DNG,Da Nang International Warehouse,5.0,5.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-10-07,21.2212009,105.806999,RDX-EU,647.0,582.0,0.88,Rear Cassette,447.0,Component,0.88,756.99,24.0,212.37,0.87,761.0,WUM,Noi Bai International Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-10-07,23.3673725,119.502777,RDX-EU,594.0,535.0,0.92,Suspension,1324.0,Component,0.87,3207.6,64.0,197.3,0.86,707.0,ZWY,Wang-an Facility,14.0,16.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-10-07,24.4668999,122.977997,RDX-EU,762.0,762.0,0.98,Shifter-R,246.0,Component,0.82,419.1,24.0,236.37,0.93,847.0,WRV,Yonaguni Warehouse,12.0,12.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-11-06,16.0438995,108.198997,MTX-3500,333.0,326.0,0.91,Complete Bike,7087.0,Complete Bike,0.88,12400.92,5.0,90.29,0.89,324.0,DNG,Da Nang International Warehouse,5.0,5.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2024-11-06,35.7647018,140.386002,MTX-2000,611.0,538.0,0.98,Pedals,216.0,Component,0.87,457.03,76.0,181.4,0.88,650.0,AZJ,Narita International Facility,34.0,38.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2024-11-06,10.1698,103.9931,MTX-5000,581.0,546.0,0.89,Front derailleur ,213.0,Component,0.85,365.91,12.0,162.14,0.87,581.0,UAZ,Phu Quoc International Facility,6.0,6.0,1.0,2025-05-03 13:29:46
Harbin,China,2024-11-06,45.6234016,126.25,MTX-5000,687.0,605.0,0.87,Brake Lever,203.0,Component,0.94,392.96,18.0,201.77,0.9,723.0,AIM,Taiping Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-11-06,10.8188,106.652,RDX-NZ,542.0,537.0,0.91,Wheel hubs,449.0,Component,0.86,772.68,10.0,168.0,0.95,602.0,QGX,Tan Son Nhat International Facility,10.0,10.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2024-12-07,24.0230999,121.617996,MTX-3500,824.0,766.0,0.96,Complete Bike,12161.0,Complete Bike,0.94,22223.28,28.0,221.02,0.82,792.0,DLS,Hualien Facility,13.0,14.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-12-07,14.9344997,102.079002,RDX-USA,508.0,483.0,0.87,Pedals,251.0,Component,0.83,410.21,72.0,159.35,0.85,571.0,YHK,Khorat Warehouse,34.0,36.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2024-12-07,35.7647018,140.386002,RDX-NZ,517.0,512.0,0.87,Front derailleur ,187.0,Component,0.89,342.93,6.0,171.63,0.88,615.0,AZJ,Narita International Facility,6.0,6.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2024-12-07,10.1698,103.9931,MTX-3500,555.0,505.0,0.97,Tires,331.0,Component,0.96,606.06,38.0,198.42,0.85,711.0,UAZ,Phu Quoc International Facility,18.0,19.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-01-06,16.0438995,108.198997,MTX-5000,357.0,350.0,0.96,Complete Bike,6717.0,Complete Bike,0.82,12944.82,5.0,99.6,0.82,357.0,DNG,Da Nang International Warehouse,5.0,5.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2025-01-06,24.0230999,121.617996,MTX-2000,788.0,725.0,0.98,Complete Bike,10315.0,Complete Bike,0.84,18124.0,36.0,222.14,0.82,796.0,DLS,Hualien Facility,17.0,18.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2025-01-06,21.2212009,105.806999,MTX-5000,568.0,523.0,0.92,Shifter-R,124.0,Component,0.94,287.41,11.0,182.23,0.92,653.0,WUM,Noi Bai International Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2025-01-06,37.2930984,136.962006,RDX-NZ,513.0,487.0,0.97,Rotors,200.0,Component,0.87,414.25,24.0,149.02,0.96,534.0,DFQ,Noto Warehouse,12.0,12.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2025-01-06,16.0704002,103.646004,RDX-USA,728.0,692.0,0.92,Tires,525.0,Component,0.87,829.92,34.0,236.09,0.87,846.0,JRR,Rob Muang Warehouse,16.0,17.0,1.0,2025-05-03 13:29:46
Shanghai,China,2025-01-06,31.1434002,121.805,MTX-2000,562.0,551.0,0.91,Frame,4888.0,Component,0.87,11016.58,18.0,172.47,0.84,618.0,JCE,Shanghai Pudong International Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-02-06,16.0438995,108.198997,RDX-NZ,314.0,295.0,0.92,Complete Bike,5436.0,Complete Bike,0.95,9149.96,8.0,98.36,0.85,352.0,DNG,Da Nang International Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2025-02-06,36.1668015,137.923004,MTX-5000,622.0,566.0,0.93,Pedals,199.0,Component,0.85,481.12,40.0,184.74,0.83,662.0,KOB,Matsumoto Facility,36.0,40.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2025-02-06,37.2930984,136.962006,MTX-3500,509.0,489.0,0.93,Seat,298.0,Component,0.96,610.8,11.0,156.0,0.84,559.0,DFQ,Noto Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2025-02-06,16.0704002,103.646004,RDX-USA,581.0,529.0,0.91,Wheel hubs,357.0,Component,0.88,761.34,9.0,197.58,0.83,708.0,JRR,Rob Muang Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Futema,Japan,2025-03-09,26.2742996,127.755997,RDX-USA,719.0,712.0,0.94,Complete Bike,16138.0,Complete Bike,0.94,26336.97,46.0,241.67,0.86,866.0,IBV,Futenma Plant,22.0,23.0,1.0,2025-05-03 13:29:46
Kashi,China,2025-03-09,39.5429001,76.0199966,MTX-3500,625.0,575.0,0.96,Steering,86.0,Component,0.95,155.19,14.0,189.49,0.89,679.0,PVP,Kashgar Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2025-03-09,14.9344997,102.079002,MTX-3500,809.0,712.0,0.89,Pedals,302.0,Component,0.87,605.13,34.0,240.28,0.96,861.0,YHK,Khorat Warehouse,32.0,34.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2025-03-09,35.7647018,140.386002,RDX-NZ,762.0,739.0,0.9,Tires,387.0,Component,0.9,886.97,20.0,223.81,0.87,802.0,AZJ,Narita International Facility,19.0,20.0,1.0,2025-05-03 13:29:46
Urumqi,China,2025-03-09,43.9071007,87.4741974,RDX-USA,843.0,759.0,0.89,Frame,7551.0,Component,0.93,15175.9,18.0,242.51,0.9,869.0,ZBN,Ürümqi Diwopu International Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Futema,Japan,2025-04-06,26.2742996,127.755997,MTX-2000,711.0,704.0,0.94,Complete Bike,10866.0,Complete Bike,0.9,17597.25,34.0,202.33,0.84,725.0,IBV,Futenma Plant,16.0,17.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2025-04-06,21.0405006,105.886002,MTX-2000,703.0,647.0,0.92,Complete Bike,7453.0,Complete Bike,0.93,16169.0,13.0,208.74,0.9,748.0,AKR,Gia Lam Plant,12.0,13.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2025-04-06,12.2275,109.192001,RDX-NZ,538.0,490.0,0.95,Seat,318.0,Component,0.91,611.98,22.0,176.65,0.86,633.0,JFU,Nha Trang Plant,10.0,11.0,1.0,2025-05-03 13:29:46
Dalian,China,2025-04-06,38.9656982,121.539001,MTX-2000,434.0,425.0,0.9,Brake Lever,162.0,Component,0.87,276.46,30.0,155.44,0.86,557.0,BAQ,Zhoushuizi Warehouse,14.0,15.0,1.0,2025-05-03 13:29:46
